date,type,price,log_price
2015/3/16,GDEA,20.7,3.0301337
2015/3/17,GDEA,20.61,3.025776395
2015/3/18,GDEA,20.2,3.005682604
2015/3/19,GDEA,21.29,3.058237479
2015/3/20,GDEA,23.31,3.148882453
2015/3/23,GDEA,24.62,3.203559121
2015/3/24,GDEA,26.2,3.265759411
2015/3/25,GDEA,28.82,3.361069591
2015/3/26,GDEA,29.58,3.387098457
2015/3/27,GDEA,32.54,3.482470102
2015/3/30,GDEA,29.89,3.397523976
2015/3/31,GDEA,28.16,3.337902531
2015/4/1,GDEA,30.98,3.433341835
2015/4/2,GDEA,28.19,3.338967305
2015/4/3,GDEA,31.01,3.434309733
2015/4/7,GDEA,34.11,3.529590596
2015/4/8,GDEA,30.7,3.424262655
2015/4/9,GDEA,27.63,3.318902139
2015/4/10,GDEA,24.87,3.213662258
2015/4/13,GDEA,22.38,3.108167703
2015/4/14,GDEA,20.14,3.002707887
2015/4/15,GDEA,19.06,2.947591898
2015/4/16,GDEA,20.97,3.043092845
2015/4/17,GDEA,20.21,3.006177531
2015/4/20,GDEA,18.19,2.900871993
2015/4/21,GDEA,19.82,2.986691529
2015/4/22,GDEA,21.8,3.08190997
2015/4/23,GDEA,21.65,3.075005454
2015/4/24,GDEA,23.82,3.170525564
2015/4/27,GDEA,23.65,3.163363115
2015/4/28,GDEA,26.02,3.258865473
2015/4/29,GDEA,23.46,3.155296843
2015/4/30,GDEA,25.81,3.250762014
2015/5/4,GDEA,28.39,3.34603697
2015/5/5,GDEA,29.98,3.400530493
2015/5/6,GDEA,32.98,3.495901317
2015/5/11,GDEA,29.68,3.390473418
2015/5/12,GDEA,26.8,3.288401888
2015/5/15,GDEA,24.2,3.186352633
2015/5/19,GDEA,22.6,3.117949906
2015/5/20,GDEA,23.52,3.157851123
2015/5/21,GDEA,21.17,3.052585085
2015/5/22,GDEA,19.06,2.947591898
2015/5/25,GDEA,20.97,3.043092845
2015/5/26,GDEA,18.96,2.942331497
2015/5/27,GDEA,17.3,2.850706502
2015/5/28,GDEA,17,2.833213344
2015/5/29,GDEA,16.56,2.806990149
2015/6/1,GDEA,18.22,2.902519892
2015/6/2,GDEA,16.5,2.803360381
2015/6/3,GDEA,17.66,2.871302195
2015/6/4,GDEA,18,2.890371758
2015/6/8,GDEA,19.8,2.985681938
2015/6/9,GDEA,18,2.890371758
2015/6/10,GDEA,17.71,2.874129452
2015/6/11,GDEA,16.99,2.832624936
2015/6/12,GDEA,17.87,2.883123329
2015/6/15,GDEA,17.22,2.846071499
2015/6/16,GDEA,17.72,2.874693945
2015/6/17,GDEA,17.47,2.860485124
2015/6/18,GDEA,18.17,2.899771882
2015/6/19,GDEA,16.35,2.794227897
2015/6/23,GDEA,14.72,2.689207113
2015/6/24,GDEA,14.91,2.702032129
2015/6/25,GDEA,15.49,2.740194654
2015/6/26,GDEA,14,2.63905733
2015/6/29,GDEA,15.28,2.726544784
2015/6/30,GDEA,16,2.772588722
2015/7/1,GDEA,15.5,2.740840024
2015/7/2,GDEA,15.44,2.736961545
2015/7/3,GDEA,15.5,2.740840024
2015/7/6,GDEA,15.24,2.72392355
2015/7/7,GDEA,16,2.772588722
2015/7/8,GDEA,15,2.708050201
2015/7/9,GDEA,15.99,2.771963527
2015/7/10,GDEA,15.19,2.720637317
2015/7/13,GDEA,16.01,2.773213527
2015/7/14,GDEA,15.52,2.742129515
2015/7/21,GDEA,15.53,2.742773637
2015/7/22,GDEA,15.84,2.762538386
2015/7/23,GDEA,15.56,2.744703519
2015/7/24,GDEA,16.42,2.798500104
2015/7/27,GDEA,16.45,2.800325477
2015/7/28,GDEA,16.45,2.800325477
2015/7/29,GDEA,14.81,2.695302628
2015/7/30,GDEA,15.14,2.717340248
2015/7/31,GDEA,15.2,2.721295428
2015/8/3,GDEA,16.3,2.791165108
2015/8/4,GDEA,16.46,2.800933195
2015/8/5,GDEA,16.5,2.803360381
2015/8/6,GDEA,16.48,2.802147524
2015/8/12,GDEA,16.18,2.783775912
2015/8/13,GDEA,16.5,2.803360381
2015/8/14,GDEA,16.5,2.803360381
2015/8/17,GDEA,16.5,2.803360381
2015/8/18,GDEA,15.72,2.754933787
2015/8/19,GDEA,15.51,2.741484977
2015/8/20,GDEA,16.41,2.797890905
2015/8/21,GDEA,17.48,2.86105737
2015/8/24,GDEA,18.27,2.90526037
2015/8/25,GDEA,16.6,2.809402695
2015/8/26,GDEA,16.08,2.777576264
2015/8/28,GDEA,17.69,2.872999508
2015/8/31,GDEA,19.4,2.965273066
2015/9/1,GDEA,18,2.890371758
2015/9/2,GDEA,16.2,2.785011242
2015/9/7,GDEA,15.53,2.742773637
2015/9/9,GDEA,16.94,2.829677689
2015/9/10,GDEA,16.93,2.829087196
2015/9/11,GDEA,18.53,2.91939104
2015/9/14,GDEA,18.26,2.904712875
2015/9/15,GDEA,19.63,2.977059008
2015/9/16,GDEA,18,2.890371758
2015/9/18,GDEA,16.2,2.785011242
2015/9/21,GDEA,15.5,2.740840024
2015/9/22,GDEA,15.92,2.76757618
2015/9/23,GDEA,16.5,2.803360381
2015/10/13,GDEA,15.98,2.77133794
2015/10/15,GDEA,15.5,2.740840024
2015/10/16,GDEA,15.27,2.725890119
2015/10/19,GDEA,15,2.708050201
2015/10/21,GDEA,15,2.708050201
2015/10/22,GDEA,15,2.708050201
2015/10/23,GDEA,15,2.708050201
2015/10/26,GDEA,15.5,2.740840024
2015/10/27,GDEA,15,2.708050201
2015/10/28,GDEA,14.99,2.707383312
2015/11/2,GDEA,14.98,2.706715978
2015/11/3,GDEA,15.75,2.756840365
2015/11/4,GDEA,14.96,2.705379973
2015/11/5,GDEA,16.46,2.800933195
2015/11/6,GDEA,15.44,2.736961545
2015/11/9,GDEA,15,2.708050201
2015/11/10,GDEA,15,2.708050201
2015/11/11,GDEA,15.29,2.72719902
2015/11/12,GDEA,14.91,2.702032129
2015/11/20,GDEA,14.69,2.68716699
2015/11/23,GDEA,14.95,2.7047113
2015/11/24,GDEA,14.99,2.707383312
2015/11/26,GDEA,15,2.708050201
2015/11/27,GDEA,15,2.708050201
2015/11/30,GDEA,15,2.708050201
2015/12/1,GDEA,15.3,2.727852828
2015/12/2,GDEA,15,2.708050201
2015/12/11,GDEA,15.2,2.721295428
2015/12/17,GDEA,14,2.63905733
2015/12/18,GDEA,15.1,2.714694744
2015/12/23,GDEA,15.45,2.737609003
2015/12/24,GDEA,15.76,2.757475084
2015/12/25,GDEA,16.2,2.785011242
2015/12/28,GDEA,16.9,2.827313622
2015/12/29,GDEA,17.4,2.856470206
2015/12/30,GDEA,18.85,2.936512914
2015/12/31,GDEA,18.85,2.936512914
2016/1/4,GDEA,15.1,2.714694744
2016/1/7,GDEA,18.45,2.91506437
2016/1/22,GDEA,16.8,2.821378886
2016/1/25,GDEA,12,2.48490665
2016/1/26,GDEA,16.27,2.789322921
